label,tweet
anger,"Man teman yang terhormat. Bisa tidak kita kumpul tanpa hp ? Buat apa kumpul bareng tapi asik sendiri, kalau  begitu  mending dirumah baik  tahan  boker"
love,"Bertemu denganmu adalah takdir, menjadi temanmu adalah pilihan, namun jatuh cinta kepada mu adalah benar-benar di luar dugaanku"
love,"Saya jatuh cinta pada Ryan Gosling sejak di The Notebook. Mungkin itu kenapa saya tidak  pernah bosan nonton ulang La La Land (sampai sekarang sudah lebih dari 10 kali nonton La La Land). Mata sayu, senyum lembut...Gosling banget. [URL]"
fear,"[idm] Army, saya baru keterima di jurusan Ilmu dan Teknologi Pangan. Adakah yang kuliah di jurusan itu? Bantu saya tenangin diri soalnya takut dengan masa-masa perkuliahan."
anger,[USERNAME] min pengajuan reksa dana saya di setujui tanggal 28/05. Kok tidak dapat voucher gift card. Cek email pun tidak ad [URL]
fear,"sudah mah takut belok terlalu miring karena pernah jatuh  konyol dan pernah hampir jatuh  masuk jurang karena ban benjol, sekarang  lagi  ngebut parah tiba-tiba tidak bisa ngontrol gas sama rem yang  bikin hampir mati atau tabrakan. Pertanda apa coba ini"
anger,Media Sosial malah ngeri jancuk  tapi yakini kebenarannya saya lahir Nk Suroboyo gede y Nk Suroboyo lek Persebaya ku di idek2 yo wani dep2 an Persebaya iku harga diri !!!
love,"Sayang! Sepertinya ada yang salah nih, katanya bidadari tinggal di surga, tapi kenapa kamu bisa tinggal di hatiku sih."
joy,Bukan perkara siapa yang  lebih  handal. Tapi bagaimana menghargai dan saling mengingatkan juga menjaga :') ada namanya terbuka dengan  cara yang  baik untuk tetap saling bercengkrama kan ? #Tipssore 16.09WIT ~ : )
fear,Terlalu bodoh sekali bila mudah terpengaruh tipu daya setan. Bila pun harus membenci cukup sifatnya bukan objeknya. Takut kalau tiba-tiba Allah menyuruh Saya pulang sementara masih ada kebencian dalam hati Saya. Saya lebih takut kehilangan Allah daripada apapun termasuk keluarga.
joy,"selalu bahagia dikelilingi orang2 baik orangtua yang baik, keluarga yang baik, pasangan yang baik, teman yang baik. Ternyata ada nikmat lain yang  lebih indah dibandingkan materi. yaitu dikelilingi oleh orang baik. terimakasih banyak yang  maha baik"
fear,sumpah tadu  saya ketiduran jam 6.10 dan barusan saya bangun gara-gara mimpi dikejar setan saya mimpi di kejar miss k saya tidak ngerti awal nya bagaimana  yang  saya ingat  awalnya
anger,[SENSITIVE-NO] no saya yang  ke 4 signal 4g full sudah dari kemarin malam problem lokasi di jalan raya legian no 88 sudah di ganti isp lain nya dan restart hp juga tidak bisa buka apa apa tolong di bantu [USERNAME]
joy,"Untuk yang  sakit, semoga disehatkan Untuk yang  mencari pekerjaan, ditemukan segera Untuk yang  bimbang, diberikan keyakinan Untuk yang  hilang arah, diingatkan kembali ke Allah Sehat dan bahagia selalu"
love,Tentang dia. Yang terlahir dalam keluarga yang bahagia. Dengan penuh cinta. Dengan penuh kasih. Hingga tumbuh menjadi sosok yang penuh dengan karisma memcintai dan dicinta berjuta manusia.
fear,"Setuju pak [USERNAME], sama antisipasi kegiatan SOTR juga pak yang  belum  lama terjadi justru berujung tawuran & disertai aksi vandalisme, demi terciptanya keamanan dan kenyamanan warga, kasihan yang  pulang kerja larut malam. Terlebih mendekati hari raya"
anger,"[USERNAME] [USERNAME] Setuju bang yang  beginian bikin hidupnya tidak tenang saja  ya,gk memikirkan  yang  lain ky bagaimana  cari  orderan ingin enak sendiri saja  jadinya ,gw saja  gedeg benar  yang  bikin opik begituan"
joy,"Congraduation Angela Merici akuu. Agak sedih sih yaa padahal kamu sudah sengaja ngalah buat aku, tapi tetap  duluan kamuuu. sudah sarjana lho njel, dikurangi yaa lemot2nya"
love,SAYANG sekali  SAMA ANAK INI YAAMPUUUUUUNNN COBA YANG BISA NANDINGIN DANCE BADAN KARET TANPA TULANGNYA TEN SINI MAJU WKWKWKW
anger,"sudah tahu akun verified, netijen indo galak, sudah deh si mamas habis dilahap netijen. menurutku speakup disini bagaimana  cara kita mengadukan hal tersebut  kepada  pihak yang lebih kuat. kalau anak2 ya ke ortu, guru, dan sebagainya begitu  bukan  cari massa buat nge-hate pelaku. apa bedanya sama  main hakim sendiri?"
sad,Sayang seribu sayang namun tak ada satupun yang  nyangkut sampai sekarang
sad,"Mau bilang rindu tapi bukan  siapa, mau blang cemburu juga bukan siapa2 .emang benar yang  bukan siapa2 mana bisa dapat apa2"
anger,"[USERNAME] Untuk kesekian kalinya,ga sepaham sama akun anonim ini Sudah mulai kebablasan dalam kebebasan berargumen Banyak hal yang  dikritisi namun tidak pakai  nalar dan hati nurani Awalnya saya tertarik dengan tweetnya,makin kesini makin tidak punya kontrol..ah"
fear,"/rlt/ minta saran dong, akukan pesan  sepatu PO begitu  nah biasanya datengnya seminggu 2minggu tapi ini sudah lebih dari sebulan sepatunya tidak dateng22. yaa belum  bayar sih cumakan sepatunya mau saya pake. enaknya tanya gimana sama penjual? mau pesan  ke yang  lain takut sepatunya dateng."
joy,#SalamSaum #SobaTani Ekspor komoditas perkebunan kita naik 26.5 % dari Tahun 2016 sd 2017. Keren buat #PetaniKita
love,"Di sela-sela kesibukan di kantor, kalau tiba-tiba kangen Tobio, saya seringkali liat foto dan video dia di handphone. Oh, God, sayang sekali  saya sama Tobio."
anger,[USERNAME] Jadi pemimpin gubernur harus pikir mateng2 menciptakan pekerjaan Kembangkan tong sampah buatan indonesia anti bocor dan lain2 untuk di beli kebutuhan dalam  negeri bukan beli impor tong sampah
joy,"sebenarnya  awal saya  naksir yang  coklat, tapi waktu  itu stock kosong T^T karena  saya ingin tahu parah sama  sound ini headphone dan keinginan untuk memiliki sudah terlalu kuat! jadinya beli yang  ada stocknya aja.. akhirnya saya berjodoh dengan ""STEEL"""
anger,Hehehee kan memang itu yang  di minta..seharusnya TBG Gentle kalau memang sudah tidak sejalan lagi  dengan  [USERNAME] mengundurkan diri sebagai  pengurus maupun kader pada  [URL]
anger,"lagi  ramai  sexual harassment gara2 via vallen.. Dan banyak  pro dan kontra atas yang  dilakukan via. yang  kontra, mungkin harus  nonton 13 reason why sih tuh. dimana  sudah cerita kmn2 minta  pertolongan, tapi orang-orang  nganggep hal tersebut  sepele. Telek."
fear,"Maaf prof, bukan hanya takut ditelanjangi, jauhi korupsi kerna ITU DOSA, bagi yang  masih punya iman takutlah kepada Allah Yang Maha Mengetahui...."
joy,Pagi ini dapat  lagi mba supir tj yang selalu semangat kalau  nyetir sambil dengerin lagu yang macem2. Tadi dia muter lagu sayang.. tapi versi bahasa jepang. Ikut semangat liatnya :)) Jadi mikir ye sayang sekali  orang yang tidak mau menikmati sesuatu cuma karena perbedaan bahasa.
fear,"Berat badanku 77kg, saya minder, saya takut di bully, saya takut mereka yang  bilang cantik itu langsing bukan C A N T I K saya juga takut dibilang ""Gapura Kecamatan"" #janganbullyaku [URL]"
love,"[USERNAME] Gimana ya jelasinnya wkwkwk. Ya orang yang  pertama kalinya bisa bikin kita merasa degdegan, ingin mengenal lebih, terus ingin deket terus gitu. Biasanya pas kelas  6 atau smp begitu  (kalau aku), relatif sih wkwkw"
fear,Ini sih jadinya 422 -_- tidak berani keluar buat manasin air gegara diceritain siska bahwa ada 'something'. Memang dasar apel kamu siska!!! Bikin takut
fear,"[USERNAME] [USERNAME] Menurutku si karena lingkungan tempat tinggal juga. yang  bully si adik  memang  anak preman yang  bapak dan kakaknya hobi mabok""an dan berantem. Ngeri ya jadi takut nyekolahin anak di sekolah umum"
love,"Selamat ulang tahun idolaku,masku sekaligus ebesku tercinta walaupun jarang ketemu tetap  terselip doa untukmu semoga senantiasa diberi kesehatan,rezeki & kerendahan hati"
sad,"Yuk, akhirnya masuk  minggu awal bulan  Juni 2018. tidak terasa sudah setengah tahun  aj. Ternyata banyak  target yang  belum  terealisasi sampai skr. harus  belajar displin konsisten biar bisnis Oriflame makin lancar"
sad,"Ya berkali kali Farah suka ingatkan  untuk tidak  diterusin. Katanya makin saya perhatian ke dia, makin sulit buat saya untuk lupain soal dia. Tapi nihya far, sudah saya coba dari  jaman kapan ahelah. Ujung2nya penuh risiko (re: suka kgn). Hmm pahit :((("
joy,"Untuk pengalaman, kemarin hari jiwa dan raga sedang tak seirama, rungsing. Pada awalnya curhat dengan kawan dan akhirnya saya berkontlemplasi sendiri. Hasilnya: Ternyata Allah itu baik sekali  ya, kasih  kepercayaan kepada  saya  mengatasi persoalan hidup yang sebegitu kompleksnya..."
sad,"dan bilang kamis itu dihadapan teman2 kerja tadi pagi pas lagi apel, ketegangan jadi terbahak-bahak  gara2 ngengeblengan seorang pegawai yang  mau mimpin yelyel.. diajak intermezo dulu.. padahal malunya itu lho"
fear,"[USERNAME] jujur ya saya juga takut, banci yang ngamen begitu  sih, pernah kejadian soalnya banci ngebegal, seram  sekali  kalau  lahi marah marah sambil nodong piso"
joy,Barusan telponan sama teman  SD. Dan happy sekali  dia mau kasih  saya kesempatan untuk melakukan hal yang ingin saya lakuin banget-nget-nget.
sad,"Ada pasien yang  curhat 17th cuci darah dan tetap  positif karena  keluarganya yang  supportif, ada juga yang  ditinggal oleh anak dan suaminya, ada juga yang  untum ke rumah sakit tidak ada ongkos padahal  cucidarahnya sudah gratis.. bayangin 17th cuci darah! Mashaallah sudah nikmat sehat itu"
love,"Karena merasa  #temanbukanpacarbukan saya tanya  dan dia bilang  sayang deh tuh. Naaaah, lagi sayang sayang nya namanya juga maunya ketemu terus  maunya diliatin terus  ke orang-orang"
fear,"saya tadi di sekolah kucek kucek mata kan ya. Abis itu banyak bulu mata yang rontok. Auto panik nih, takut kalau  gundul sebelah. Nah, bulu mata tuh bisa tumbuh lagi tidak sih?:("
sad,"Jika saya berkata sekarang, maka hanya ada cacian dan teriakan kasar tentang  kemunafikan...utk itu sekarang  saya lebih memilih diam dan menjauh dari kehidupan."
fear,"Ngeri.. Ternyata Popok Seklai Pakai Jadi Pemicu Utama Infeksi Saluran Kencing Jangan lengah dengan kepraktisan popok sekali pakai. Karena jika tak perhatikan hal ini, bahaya bisa mendekati si kecil"
joy,"Hari berganti sore, rasa letih semakin meningkat, tetap  semangat ya!"
sad,. Innalillahi saya inna ilaihi roji'un. turut berduka cita atas meninggalnya ibunda tercinta sohib saya  memendurehmen56 semoga Almarhumah husnul khotimah serta amal ibadahnya diterima disisiNya
anger,Kamu bilang sayang bila pembangunan [USERNAME] tidak dilanjutkan apa kamu berfikir presiden berikutnya tidak akan membangun? Mengapa tidak bilang sayang jika  hutang yang  menggunung jokowi tidak dilanjutkan hingga negara ini bangkrut??? Selamat jadi cebi syaratnya memang  otak tidak dipakai 
sad,"200 mubalig versi Menag,sdh ditatar.Bahan ceramah harus  sesuai dengan  Menag.Lucu juga.Ceramah terkendali.Jika para mubalig menolak Menag mundur.Iya dong,kalo [USERNAME] punya harga diri. [URL]"
anger,JILBABER BAJU NATAL NORAK & ANJING2 KALIAN sudah MNYAMBUT DI HOTEL WAHAI INTEL SETAN [USERNAME] [USERNAME] APEP AHMAD TARDIYANA URBANE ANJING !! INI saja  POLA ULAH INTEL BUSUK kamu ikuti  orang KEMNPUN TAEKKKK !! ALAT TEROR BNGSAT LAGI2 KALIAN PASANG DI KAMAR KERJASAMA dengan  HOTEL TAEK!
joy,"Saya serius, kalopun pak [USERNAME] nanti kalah, saya  mending kalah sama yusril daripada sama prabowo Tapi kan tidak mungkin kalah ya...hahaha [URL]"
fear,semoga  besok sudah  ada pengumuman baik ya Allah amin lancarkanlah segalanya benar-benar  deh judulnya sekarang  tuh saya dipenuhi ketidak pastian dan penantian huhuhu benar-benar  dari  berbagai aspek bisa tenang saja  tidak si ini  hidup
fear,"dek, saya cuma takut, perasaan saya akan melebihi batas sebagai kakak kelas. berhenti ya? sekalipun alasan kamu mengabari saya adalah karena bosan."
sad,"memang  Allah Maha Baik. Bahkan ada banyak pelajaran dari  hal-hal kecil terjadi. semalam  ada yang  bilang 'sabar yang pasti ada jalan. Jangan dibawa kalut dulu' Tapi memang  dasar imanku masih cetek, bukannya nenangin diri malah sibuk ngeluhin si bapak :("
sad,Tanpa jarak maka kerinduan hanyalah angan Tanpa jarak maka tak akan jelas saya melihat kerupaanmu Tanpa jarak maka tak ada yang benar-benar saya nanti
sad,"Duh. Sakit sekali. Karena saya orang yang  jujur, saya bakal bilang  kalau saya ada perasaan sama dia namun saya tidak memaksanya membalas perasaan saya dan membiarkan dia mengejar orang yang dia suka saja"
fear,me as a girlfriend always pujuk my bf if dia merajuk because i dont want to lose him perasaan takut itu  automatik datang  bila kita sudah sayang hmm
joy,"yakin aja, setiap datang pasti akan pergi, dan begitupun sebaliknya. Pasti ada gantinya, ya mungkin harus dari nol lagi, ngajarin lagi. Ya itu lah proses, mau bisa ya harus belajar."
love,"Apapun yang terjadi, kita hadapi, demi terwujud impian hati ~ Yakinlah Tuhan merestui, cinta kita kan abadi ~ Selama dunia masih berputar, cinta ini takkan pudar ~ Tiada pernah berubah, abadi sepanjang masaaaaaa ~ Aahhseeeek"
fear,Mau jalan kaki diluar kost  tapi takut kena jambret karena mau nenteng kamera dan handphone.... alhasil menganggur dalam  kamar sendirian dengan laptop dan kue basah pemberian kamar tetangga. #baladaanakdaerah
fear,"Tiap malam  mirip  gini saya selalu  resah, tentang semuanya yang  telah terjadi dan apa yang  akan terjadi esok. 2 malam ini saya resah karena  berita yang  muncul tanggal 25 kemaren."
sad,"[USERNAME] belum lama ini, dia bilang kalau  dia sedih ngeliat temen-temennya ngalamin masa sulit. Dan bahkan mereka pun tidak mau punyagrup chatting karena  khawatir kalau  ada yang  tidak balas  malah jadi menyakiti  perasaan. Se soft itu lho mereka :')"
fear,kabar terakhir dari si timi. dia tidak berani pulang dan tidur di serambi masjid. trauma dengan diri yang tercampakan oleh sang pemilik.
love,saya LEMAH SAMA YANG KE-DADDY-AN mirip  kamu BRI. kamu BIKIN saya MAKIN SAYANG tahu tidak kalau  GINI CERITANYA. ingin MENGHILANG saya LAH. [URL]
anger,"namanya orangtua ya memang  wajib kan bayarin anaknya sekolah ? jadi tidak ada itu  yang namanya buang2 duit !! semua yang sudah dilakuin sama kita baik benar  apa tidak itu gabakal sia sia ! tidak usah takut gagal, tidak usah mikir buruk. justru yang  sia sia itu  dengan  kalian ngejudge orglain kayak  gini"
fear,"[askmf] guys, saya  mau upload twibbon univ di instagram. tapi minder, karena  univnya swasta. takut dipandang remeh dan tidak layak buat dipajang diinstagram. salty-in saja  tidak apa apa kok"
love,park woojin harus disayang dicintai diapresiasi diberi makanan enak diberi pelukan hangat diberi kopi panas atau cokelat panas terserah dia deh yang penting dia bahagia pokoknya intinya adalah park woojin harus dibuat bahagia.
fear,Iyaa untungnyaaa .. . jangan mantai dulu deh.. kemarin sepupuku pulang ke bali juga disaranin pakai  pesawat mobilny tinggal di jogja abis nyebrangnya coy horor
sad,"kalau  nanggung kea sekarang  itu lebih betein ketimbang pas pendek. dulu yes, sekarang no. mungkin marah  selalu dipotong. sudah 3 tahun tidak pernah lewat sebahu and kamu ka [USERNAME]?"
sad,Alasan kenapa aing jarang balas  chat. bicara  sama manusia itu lebih seru dibanding chat yang kadang tidak jelas juga yang dibahas apa. [URL]
fear,"[USERNAME] sebenarnya  saya tidak masalah kalau 'memperlihatkan' isi medsosku from time to time, dengan  catatan: ""apapun risikonya, tanggung sendiri"" :) Tapi kalau tukar  username dan password, ada kemungkinan ""pembajakan"" nanti, saya malas."
sad,"kalau  dia tidak perduli, kenapa kita harus memperhatikannya ? kalau  dia tak mau dengar, kenapa kita harus bicara kepadanya ? kalau  dia memutuskan untuk pergi, kenapa kita harus bertahan mengikutinya ? Tak perlu mencari jawabannya karena  kamu hanya perlu menghilangkan ""kalo, kenapa, ?"""
fear,"Ih Ngeri, Beredar Foto Luna Maya Jadi Suzzanna Bikin Merinding [URL]"
love,"kalau  dokter dipanggilnya ""dok"" - kalau  suster dipanggilnya ""sus"" - nah kalau  apoteker? ""ap"", ""tek"", ato ""ker"" ?. Iya juga yah, bingung. saya pribadi sih lebih  senang  kamu panggil ""sayang"", it warms ma heart"
fear,"Bagaimana ya. Jalur yang dilewati juga jalur lewat truck juga. saya mikir gini ""sayang tidak sih sama nyawa?"" Dan beberapa umpatan lainnya. Dan jalan itu kurang penerangan dan banyak sekali yang ngelawan arus jalan."
anger,si gendut kalau saya yang suruh ogah jalan! dasar kebo!
fear,"seram  kang,kl sudah macetnya begitu. Padahal tol semua yaa..,Horor itu mah"
anger,"Jadi dulu pernah bilang gini ""Mas kamu cuma maen2 saja  ya sama gua? : ya kaga lah bege, kalau  buat main  saja  ngapain saya  sampai tunggu  kamu bertahun2? rajin sekali  gua"" and finally putus2 juga wkwkw makan tuh"
love,Hal yang paling buat hari-hari ini selalu indah adalah kamu Karena kamu itu ASIK ( Anugerah yang Sempurna Indah di Kehidupan ku) #IniSahurTIKETCOMHariKe20 [USERNAME] [USERNAME]
anger,"kurangin intensitas berkabar, jadi tak berkabar tiap hari, yakali tiap hari sekali  begadang hanya buat face time dan telponan, dikantor tidur. ""namanya juga perjuangan det"" ya tidak  begitu  juga sih, bejuang tidak sekonyol itu juga. ada saatnya lah~"
love,Yoongiii Kangen sekali  ampe sakit  nih akunyaaa akirnya update uga.. makin putih yaaa tidak pernah keluar kamar keknyaa selama summer yaaa.. sayang anet sama  yoongiii...
joy,"Berusaha ikhlas dan pasrah. Hasil? serahin sama yang  diatas. Allah sudah ngatur segalanya, karena  dia tahu yang terbaik buat umatnya. Usaha tidak akan menghianati hasil kok:)) *semangatindirisendiri*"
sad,"Hm, agak gimana begitu  ya liat orang2 yang  against Via Vallen. Karena dimana2 pelecehan ya pelecehan, mau verbal atau fisik. Jadi ingat  pernah digituin juga... Hmm"
sad,"Makin modern gaya hidupmu, makin banyak kamu produksi sampah plastik. Believe it or not. [USERNAME] coba saja  itu sehari kalau kamu makan, berapa sedotan, gelas plastik, plastik makanan yang kamu buang ?? #HariLingkunganHidupSedunia"
fear,Cerita dengan A lain. Cerita dengan B lain. Cerita dengan  C lain. saya harap hubungan suami isteri itu  halal lah lagi. Huhu jangan di bawa main tahu cerai2 ni. Bahaya
love,"sudah ah, sudah panjang. Pokoknya tuh saya sayang kamu, i cinta you, saranghae, 143"
sad,Turut berdukacita atas korban gempa bumi di Lombok Semoga Tuhan senantiasa berikan yang terbaik #prayforlombok Cc [USERNAME] [URL]
fear,"Baca ini saya jadi takut:( padahal pakaianku sehari-hari juga sudah syari, kerudung menutup dada dan selalu pakai rok."
anger,"Orang tidak tahu diri itu adalah kursi sebelahnya kosong tapi dibuat naruh jaket/tas, yang tidak kebagian kursi berdiri di sebelahnya tapi dia tetap  tidak mindahin barang2nya :)"
sad,"Wah sekarang sudah tidak ada tulisan itu ya? Apollo dengan Pollo saja  sudah berdamai dengan masa lalu, tinggal mbanya saja  nih yang  belum berdamai dengan ... Ah sudahlah haha"
sad,"Di malam 21 ini, saya berdoa, semoga apa apa yang  overdosis di negeri ini segera kembali pada dosisnya apapun itu, yang sedang sedang aja, yang tengah tengah aja. Berlebihan itu tidak baeek"
anger,"Ngomongnya sih ayo kita sama sama sampek 12windu lagi atau lebih.. tapi giliran sekarang  di chat tidak balas, di telepon  di reject, diajak ketemuan bilang sibuk.. Pokoknya ada deh jutaan alasan kerbaushit-nya.. kalau  mau ngindarin itu bilang saja  sih, tidak usah gitu.. Classic sangat  anjir"
fear,"[askMF] Masa saya baru pacaran kemarin, tapi tidak ada saling kabar-kabaran lagi  dimana atau mau kemana. Chat nya juga random aja. terus  saya mau ngabarin dia juga kaya mikir 2x takut dia nya keganggu. Wajar tidak sih?"
fear,"hhh sampai sekarang masih kepikiran sama  mahasiswa yang  suicide karena skripsi & pressure dari orang sekitar. takut kalau  saya nantinya mirip  gt, karena memikirkan  skripsi sudah stress sangat  ditambah pressure orang orang terdekat dengan nanyain 'kapan lulus?' dll, takut nanti  pas saya skripsi-"
fear,"Ya Allah ngeri sangat  tadu  yang  brusan sawa ukuran pipa pralon gt, makanya saya tutupin sela2 pintu tkt badannya elastis bisa masuk sela2 [URL]"
anger,"Giliran ke lantai produksi mastiin dan nanyain langsung apa yang mereka tulis malah digangguin,dimintain foto Yaampunnnn mas mas pusing saya ingin cepat  selesai  terus balik jogja malah gini mmbbzzzz"
anger,Tak tahu. Fine. Tapi kalau  selalu bilang tak tahu kok jadinya seperti tidak ngerti atau cari aman ? Ah SUdahlah. . . Maju kotanya Bahagia warganya
sad,"[USERNAME] Kan benar  mas, di fisip tidak ada pembekalan bagaimana skripsi itu atau minimal dapat  motivasi rohani sebelum  menghadapi skripsi wkwk."
sad,"Wah gila sih, ini lokasinya mirip2 selly oal & dixy, persis pula di pengkolan jalan. Sayang dulu tidak ada mas2 british kaya gini. kalau ada, mungkin  saya seringnya nongkrong di dixy bukan di perpus"
joy,"saya tanya, ""ada apa sih memangnya  di bawah?"" ""Udah ikut aja."" Ajakmu, saya mengekormu dari belakang. Dan ternyata McFlurry! ""Harusnya kalau  hujan gini beli yang anget, eh tapi malah ini."" katamu. ""Udah tidak apa, kan kamu tadi belinya sebelum hujan."" candaku Kamu menoleh dan tertawa."
love,"Seseorang Berkata, "" Ada satu cara membuat wanita jatuh cinta, yaitu membuat nya tertawa"" namun saya tak pernah bisa, nyatanya saat ia tertawa justru saya yang semakin mencintainya,"
sad,kalau disaat-saat kaya gini rasanya saya kepingin sekali  tinggal di kampung ya allah :( di daerah saya sudah tidak ada adat istiadat sundanya huhu monangis
sad,"Main ludo lawan komputer saja  masih sempet kalah, gilani. - izam. tidak apa apa yang penting pernah menang :))) biar tidak jadi loser terus. [URL]"
love,"Oppa nihhh saya ada flower bucket buat qm ,maafin saya sudah bikin kamu marah  karena  tidak ngabarin tadi, akuu sayang kamuuu"
love,"[USERNAME] cowok  romantis itu mah pokoknya cowok  idaman menurut saya :), dan berarti dia secara tidak langsung sayang sekali  sama aku, dengan segala perhatiannya :)"
fear,"Dulu pernah depresi karena sering dihina oleh orang terdekat, suka dibully, broken home, dan minder serta punya hasrat sexual yang kelewatan tapi tidak bisa nyalurin karena takut dosa. Kayaknya saja  biasa saja  tapi serius! tidak ada arah hidup. [URL]"
sad,"Saat ini kami segenap pegawai di lingkungan Kementerian Perhubungan sedang berduka atas musibah yang menimpa rumah kami. Proses pemadaman api sudah berhasil dilakukan, walaupun ada rekan kami menjadi korban."
love,"kalau  pasangan lagi sakit, rewel, atau bad mood...kasi dia perhatian & kasih sayang yang lebih. Meskipun memang kalau  di kondisi seperti itu dia cenderung menyebalkan  & bikin mumet...dimaklumin aja. Karena justru di kondisi kaya begitu  dia butuh sekali  cinta, perhatian & kesabaran lo."
fear,Pertama kali nya komen di ig yang  orang-orang  lagi pada debat...gils sok iye sangat  sih guee. Ngeri di nyinyirin balik sama orang saja  nih woy. Pegangan saya cuma #cmiiw saja  sudah (sama Allah juga deng)
fear,[askMF] kalau  lagi presentasi kalian yang maaf nih yang kurang suka sama bicara depan umum suka awkward begitu  tidak sih dan takut salah ngmg?
fear,[USERNAME] [USERNAME] [USERNAME] Ya kalau ada bukti kuat percobaan untuk  makar atau menggulingkan pemerintahan yang  sah maka siapapun bisa di proses hukum...
love,"Sayang, hanya kamu yang  bisa buat mas bernafas, karena kamu adalah oksigen mas sayang. . ."
sad,"[USERNAME] saya diem, karena tahan  bicara  yang  nanti takute melebar sampek mana - mana. Dia mencoba tanya ""kenapa diem?"" saya tetap  diam  eh malah dia ikut diam  dan merem :')"
love,Romantis buat aing itu ketika melakukan apa yang harus dilakukan untuk sebuah hubungan dan ada saat pasangan bener-bener membutuhkan.
sad,"Jadi hmmm.. kalau  ada dua orang sama-sama sudah siap untuk menjalin hubungan yang  serius, masing-masing dikecewakan oleh pasangannya. terus  mereka memutuskan untuk mencoba bersama, tapi masing-masing masih belum bisa melupakan pasangannya itu... Itu gimanayaa?"
joy,Terimakasih Tuhan kamu segala berkah yang  Engkau limpahkan dalam  hidupku. Cinta yang  nyata dari  MU senantiasa menyertaiku setiap langkahku. Hari ini sungguh saya bahagia. karena  Tuhan pertemukan saya dengan  orang-orang  yang  baik.. [URL]
joy,"[USERNAME] sudah pakai perasaan sekali kita berbicara  nya . hanya  benar  caesar sama  connor yang  ok, DiDi sama  darren its not bad lah . untung suka  sama  yang pda nyanyi"
love,"saya telah jatuh sakit dengan penyakit yang membuatku jatuh cinta pada dirimu. saya berharap ini menular, sehingga kamu juga akan jatuh cinta padaku. saya cinta kamu. -D-"
fear,"Lah iya Mphi Serius kakak takut liat taehyung jadi psikopat kakak d siksa d suntik obat biar tidak kabur karena  di sana dia suka kakak , tapi kakak sudah punya pacar"
love,"lagi  bicara  sama Kiya : dek, doain mama  ya dek, supaya bisa blablabla. Dek Kiya bantu doa ya. : *Manggut-manggut, senyum"". Tulus sangat  mukanya. Meski tidak ngerti apa yang  dimaksud, tapi tiap bilang doain ya dek dia pasti senyum"" sambil  peluk."
anger,Awal nonton cuma 4 orang tenang bgt.. 25 menit film berjalan dan begitu masuk segerombolan alayers lansung bising nya tidak ketolong..
sad,"Sedap juga berwisata ketinggian di Jakarta.. Bisa lihat dengan  jelas betapa berpolusinya kota ini... @ Jakarta, Indonesia [URL]"
sad,:/-1 Dibuat bundling. Dan semuanya ditawarkan saat weekdays. Momentum di mana harga-harga hotel di Singapura bertarif sangat tinggi. #VIWIHotDealsForMiddleEast
sad,"(c.) jalan tol. Ia sungguh sedih mengingat kejadian-kejadian di kehidupannya. Tak kuat menahan sedih, dirinya mencoba mengakhiri hidupnya sambil menatap bayi Aurora yang tengah terlelap dan tersenyum. Tak kuasa melihat malaikat kecilnya yang begitu cantik mengurungkan niatnya (c"
anger,setelah dilihat lihat akhir2 ini profil saya hanya diisi dengan  jokes2 twitter yang  saya ritwit dan keluhan insomnia yang  tidak kunjung ada habisnya. WTH IS WRONG WITH ME
anger,"Ya saya tahu sih, bukan grup kita yang  digituin. Tapi sesama cewek, terus dibilang bahan gituan.... masih bisa terima? Dia jelas2 public figure, dan bicara  dengan enaknya di video bahan c**i? saya ketik  saja  tidak nyaman. Wah saya lisa digituin saja  saya semarah ini, gimana bangtan? -.-"
fear,Masih degdegan gemeter hati tidak tenang ngantuk sudah ilang selera makan juga ilang gimana besok ya ALLAH Takutt sekali  kalau  saya sampek tidak bisa lanjut saya harus ngapain ?
love,"menyayangi mu membuat ku mengenal bahasa baru, menyayangi mu membuatku mampu merangkai kata kata baru, ya memang tak seindah puisi puisi pak sapardi, tapi cukup untuk memberi mu makna. Rasa sayang melahirkan sedikit demi sedikit kalimat yang tersusun rapi di sebuah kertas"
love,saya cinta ka dije hahahahahahahahaha goodnayt dari mimimingg yang  baru saja menyelesaikan meng-approve 6000+ row usulan daerah
anger,Ya kalau hanya cukup dengan minta maaf untuk apa ada polisi dan jaksa??? Dan kalau dibiarkan tidak akn ada efek jera dan pelajaran untuk lainnya
love,"Cinta yang sesaat akan berKata, saya mencintaimu karena saya membutuhkanmu, tetapi makna sejatinya akan berKata, saya membutuhkanmu karena saya mencintaimu"
anger,"jadi ada kenalan nih gue, entah langsung  nyambung saja  gitu, di sisi lain ada yang  sok deket sama  saya sok sudah deket padahal  kenal ae kaga, tapi kalau saya nya tidak welcone jadi kek ilfil saja  begitu  ngeladenin nya"
fear,"ketika idung nyium bau bau tidak enak lalu teman  yang  rumahnya lumayan jauh ngechat di saya ""kalian nyium bau gas tidak ?"" NJIRRR IYA INI BAU GAS INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH"
anger,saya pernah ikut kuliah umumnya. Cara penyampaian dia informatif dan edukatif sih. Tapi kalau  liat yang lagi ramai  itu.. hmm.... ingin berkomentar Kenapa sih tidak fokes sama profesi andaaa ajaaaaah
